job_title,skills_text,clean_title,role_label
Machine Learning Engineer,roles responsibilities design and implement machine learning models algorithms and deep learning applications and systems optimize and scale ml models for production collaborate with data scientists administrators data analysts data engineers and data architects on production systems and applications monitor model performance and identify differences in data distribution that could potentially affect model performance in realworld applications ensure algorithms generate accurate user recommendations prepare and clean data for model training including data wrangling feature engineering and handling missing values integrate machine learning models into production systems web applications apis using software engineering best practices document the machine learning development process and model performance for future reference and collaboration stay up to date with developments in the machine learning industry relevant experience bachelors degree in computer science engineering mathematics or a related field preferred at least 5 years of handson experience as machine learning engineer or similar role familiarity with python java c and r skills expected machine learning algorithms and techniques supervised unsupervised reinforcement learning software engineering principles version control testing devops cloud computing platforms aws azure gcp often a plus extensive math and computer skills with a deep understanding of probability statistics and algorithms indepth knowledge of machine learning frameworks like keras or pytorch familiarity with data structures data modeling and software architecture excellent time management and organizational skills,machine learning engineer,ai/ml engineer
Machine Learning & AI Engineer - Immediate Hiring,key responsibilitiesai machine learning development develop textbased models and process both structured and unstructured data design and implement machine learning and deep learning models for specific business applications improve machine learning algorithms to enhance performance and accuracy apply deep learning frameworks such as tensorflow and pytorch to build and deploy neural networks data management feature engineering manage and process large datasets including cleaning transforming and extracting relevant features for model training ensure data accuracy consistency and reliability through data quality checks and validation develop and implement methods to improve data integrity efficiency and overall data quality mlops deployment monitoring use mlops tools and practices to monitor optimize and deploy ai solutions develop ab testing mechanisms model quality assessments and hypothesis validation evaluate machine learning models and ensure they meet performance expectations technical support collaboration translate business data needs into clear technical system requirements provide training and technical support to end users on how to effectively use machine learning models collaborate with crossfunctional teams including business analysts and it specialists to ensure smooth integration of advanced analytics documentation security prepare all required technical documentation according to organizational standards implement security measures to protect sensitive data and manage appropriate access levels for machine learning systems and models innovation continuous improvement evaluate and recommend new tools and methods that enhance ai and machine learning capabilities support advanced analytics initiatives to uncover innovative insights qualifications bachelors degree in computer science artificial intelligence data analytics or related field 4 years of experience in machine learning and deep learning certifications in data analytics or machine learning systems practical experience with sas dataiku experience in both public and private sectors preferably within saudi arabia strong background in data analytics and delivering multiple projects in the same field ability to work collaboratively with multifunctional teams to ensure seamless integration of advanced analytics required skills strong expertise in ml and deep learning algorithms excellent data analysis and feature engineering skills strong understanding of mlops frameworks excellent communication skills and the ability to produce highquality technical documentation,machine learning ai engineer immediate hiring,ai/ml engineer
Ai/machine Learning Engineer,a leading tech company in saudi arabia is hiring an aimachine learning engineer to develop intelligent systems for automation analytics and advanced business solutions what youll do build train and deploy ml models work with largescale datasets and pipelines collaborate with product engineering and data teams optimize models for performance and scalability what were looking for 3 years experience in aiml roles proficient in python tensorflow or pytorch experience with cloud platforms aws azure gcp hybridready in riyadh,ai machine learning engineer,ai/ml engineer
AI Engineer / ML Engineer,this is a highly skilled machine learning engineer to design build deploy and scale machine learning models that power datadriven products and intelligent systems this role sits at the intersection of data science software engineering and mlops and requires strong handson experience turning models into productionready solutions programming experience in python or r key responsibilities design develop train and optimize machine learning models for real applications or use cases translate business and product requirements into scalable mlai solutions implement feature engineering model selection tuning and evaluation techniques develop and deploy ml models into production environments with high availability and performance build and maintain ml pipelines training validation deployment monitoring monitor model performance data drift and model decay retrain models as needed ensure models meet reliability scalability and security standards work closely with data scientists product managers and software engineers collaborate with data engineering teams to ensure highquality reliable data pipelines participate in design and code reviews ensuring engineering best practices optimize models for latency throughput and cost implement experimentation frameworks ab testing offline evaluation apply responsible ai principles including fairness explainability and governance where required requirements 37 years of handson experience in machine learning or applied ai roles strong programming skills in python andor java scala solid understanding of ml algorithms supervised unsupervised deep learning experience with frameworks such as tensorflow pytorch scikitlearn experience deploying models using docker kubernetes or cloud ml services strong knowledge of data structures algorithms and software engineering principles experience working in agile crossfunctional teams experience with cloud platforms aws azure or gcp and managed ml services handson experience with mlops tools mlflow kubeflow airflow sagemaker azure ml experience with big data technologies spark kafka databricks background in nlp computer vision or generative ai strong problemsolving and analytical thinking productionfirst mindset datadriven decision making high collaboration and communication skills,ai engineer ml engineer,ai/ml engineer
Applied AI Engineer: End-to-End ML & MLOps,a cuttingedge technology company in saudi arabia is seeking a highly skilled applied aimachine learning engineer to build endtoend machine learning solutions the ideal candidate has a strong background in python programming machine learning algorithms and data engineering you will design models to enhance player experience and collaborate with crossfunctional teams in a dynamic environment this role offers opportunities for innovation and growth j18808ljbffr,applied ai engineer end to end ml mlops,ai/ml engineer
"Python and Kubernetes Software Engineer - Data, AI/ML & Analytics",canonical is a leading provider of open source software and operating systems to the global enterprise and technology markets our platform ubuntu is very widely used in breakthrough enterprise initiatives such as public cloud data science ai engineering innovation and iot our customers include the worlds leading public cloud and silicon providers and industry leaders in many sectors the company is a pioneer of global distributed collaboration with 1000 colleagues in 70 countries and very few roles based in offices teams meet two to four times yearly in person in interesting locations around the world to align on strategy and execution the company is founder led profitable and growing we are hiring python and kubernetes specialist engineers focused on data aiml and analytics solutions to join our teams building open source solutions for public cloud and private infrastructure as a software engineer on the team youll collaborate on an endtoend data analytics and mlops solution composed of popular opensource machine learning tools such as kubeflow mlflow dvc and feast you may also work on workflow etl data governance and visualization tools like apache superset dbt and temporal or data warehouse solutions such as apache trino or clickhouse your team will own a solution from the analytics and machine learning space and integrate with the solutions from other teams to build the worlds best endtoend data platform these solutions may be run on servers or on the cloud on machines or on kubernetes on developer desktops or as web services we serve the needs of individuals and community members as much as the needs of our global 2000 and fortune 500 customers we make our primary work available free of charge and our pro subscriptions are also available to individuals for personal use at no cost our goal is to enable more people to enjoy the benefits of open source regardless of their circumstances location this initiative spans many teams that are homebased and in multiple time zones we believe in distributed collaboration but we also try to ensure that colleagues have company during their work hourse successful candidates will join a team where most members and your manager are broadly in the same time zone so that you have the benefits of constant collaboration and discussion what your day will look like develop your understanding of the entire linux stack from kernel networking and storage to the application layer design build and maintain solutions that will be deployed on public and private clouds and local workstations master distributed systems concepts such as observability identity tracing work with both kubernetes and machineoriented open source applications collaborate proactively with a distributed team of engineers designers and product managers debug issues and interact in public with upstream and ubuntu communities generate and discuss ideas and collaborate on finding good solutions what we are looking for in you professional or academic software delivery using python exceptional academic track record from both high school and university undergraduate degree in a technical subject or a compelling narrative about your alternative chosen path confidence to respectfully speak up exchange feedback and share ideas without hesitation track record of going aboveandbeyond expectations to achieve outstanding results passion for technology evidenced by personal projects and initiatives the work ethic and confidence to shine alongside motivated colleagues professional written and spoken english with excellent presentation skills experience with linux debian or ubuntu preferred excellent interpersonal skills curiosity flexibility and accountability appreciative of diversity polite and effective in a multicultural multinational organisation thoughtfulness and selfmotivation resultoriented with a personal drive to meet commitmentsability to travel twice a year for company events up to two weeks long additional skills that would be nice to have the following skills may be helpful to you in the role but we dont expect everyone to bring all of them handson experience with machine learning libraries or tools proven track record of building highly automated machine learning solutions for the cloud experience with container technologies docker lxd kubernetes etc experience with public clouds aws azure google cloud working knowledge of cloud computing passionate about software quality and testing experience working on an open source project what we offer colleagues we consider geographical location experience and performance in shaping compensation worldwide we revisit compensation annually and more often for graduates and associates to ensure we recognise outstanding performance in addition to base pay we offer a performancedriven annual bonus or commission we provide all team members with additional benefits which reflect our values and ideals we balance our programs to meet local needs and ensure fairness globally distributed work environment with twiceyearly team sprints in person personal learning and development budget of usd 2000 per year annual compensation review recognition rewards annual holiday leave maternity and paternity leave employee assistance programme opportunity to travel to new locations to meet colleagues priority pass and travel upgrades for long haul company events about canonical canonical is a pioneering tech firm at the forefront of the global move to open source as the company that publishes ubuntu one of the most important open source projects and the platform for ai iot and the cloud we are changing the world of software we recruit on a global basis and set a very high standard for people joining the company we expect excellence in order to succeed we need to be the best at what we do most colleagues at canonical have worked from home since its inception in 2004 working here is a step into the future and will challenge you to think differently work smarter learn new skills and raise your game canonical is an equal opportunity employer we are proud to foster a workplace free from discrimination diversity of experience perspectives and background create a better work environment and better products whatever your identity we will give your application fair consideration,python and kubernetes software engineer data ai ml analytics,ai/ml engineer
Senior ML Engineer - Production AI & MLOps,a leading technology firm in riyadh is seeking a machine learning engineer to optimize and deploy ml models you will design ml infrastructure collaborate across teams and monitor model performance candidates must have a bachelors or masters degree in computer science and be proficient in arabic experience with tensorflow and docker is highly valued the position offers competitive compensation toptier health insurance and a dynamic workplace with a focus on growth and cultural diversity j18808ljbffr,ml engineer production ai mlops,ai/ml engineer
Senior Applied AI/ML Scientist,come join a team of industry and science leaders to achieve a vision of empowering innovation through stateoftheart artificial intelligence and machine learning we are addressing exciting challenges for our customers at the intersection of aiml and cuttingedge cloud infrastructure with nlp being a core area of what we do and what we offer our customers what you would do provide scientific machine learning methodology leadership use aiml to solve nlp tasks and hard challenges primarily for internal projects ie for our product offering and also for external projects eg for customer projects build stateoftheart models for cognitive services using various open source and machine learning principles and techniques including but not limited to classical machine learning such as logistic regression svm nn clustering and deep learning including cnn rnn transformer seq2seq bert brainstorm and design various pocs using mldlnlp solutions for new or existing enterprise problems collaborate with fellow scientists and software engineers to build out various parts of our aiml infrastructure services and solutions and effectively communicate the solutions to address external and internal shareholders product challenges by presenting to highly technical audiences present effective highly technical and complex solutions and architectures to audiences with limited or no experience in machine learning solutions your minimum qualifications are advanced degree phd preferred masters accepted in computer science physics electrical engineering statistics or mathematics preferably with specialization in artificial intelligence machine learning speech recognition natural language processing operations research or a related field 7 years of industry experience in designing and implementing machine learning models at scale with a track record of deploying them in largescale production environments experience with any of the following sota attention models large language models llms conversational ai virtual assistants document understanding spoken language understanding information retrieval questionanswering or related fields experience in llm reasoning act and react methods experience in developing and debugging in python cc or c fluent in building models with python and stateoftheart machine learning libraries eg pytorch tensorflow mxnet experience or willingness to learn and work in agile and iterative development and devops processes ability to work with minimal supervision keeping a strong alignment with your technical peers nontechnical partners and the overall company objective you enjoy and thrive in a fastworking collaborative environment preferred qualifications a deep experience and understanding in statistics mathematical models multivariate and dl algorithms experience in machine translation experience in document understanding reinforcement learning with human feedback rlhf multimodal deep learning models an impressive google scholar portfolio a strong track record in starting or contributing to opensource ml platforms tools and projects,applied ai ml scientist,ai/ml engineer
Senior ML Engineer — Generative AI,a rapidly growing technology firm in riyadh is seeking a senior machine learning engineer to design deploy and optimize advanced machine learning and generative ai solutions the role involves collaboration with various stakeholders to deliver robust aidriven insights requiring over 4 years of relevant experience and expertise in tools like tensorflow and pytorch competitive compensation and a dynamic environment await the right candidate j18808ljbffr,ml engineer generative ai,ai/ml engineer
AI Engineer,mirai a scopely company based in riyadh is building transformative ai solutions focused on enhancing productivity automation and datadriven decisionmaking within the companys internal operations and enterprise platforms mirai is a subsidiary of scopely a global interactive entertainment and mobilefirst video game company home to many top awardwinning experiences such as monopoly go star trek fleet command stumble guys marvel strike force and yahtzee with buddies among others recognized multiple times as one of fast companys worlds most innovative companies scopely is a multibilliondollar business due to its ability to create longlasting interactive experiences that players enjoy for years scopely has global operations in more than a dozen markets across asia emea and north america and is home to many internal game development teams referred to as scopely studios with additional game studio partners across four continents scopely was acquired by savvy games group in july 2023 and is now an independent subsidiary of savvy established in 2021 by saudi arabias public investment fund pif savvy games group is a games and esports company formed with a mission to drive the longterm growth and development of the broader technology and innovation industry worldwide were seeking a talented and motivated ai engineer to join our growing genai team in riyadh as an ai engineer you will design and implement scalable productiongrade ai systems that support analytics intelligent automation decision support and productivity tools across mirais enterprise operations youll collaborate with product design and engineering teams to translate business needs into robust aipowered solutions vip medical insurance for employee and his parents phone allowance kids education allowance gym allowance design develop and deploy aipowered systems that support datadriven analytics intelligent automation and enhanced productivity across enterprise operations take ownership of key projects or componentsfrom ideation and prototyping to research and scalable productionready deployment collaborate with crossfunctional teams to translate product and business requirements into robust aidriven features implement and optimize machine learning models using modern ml frameworks e g pytorch tensorflow for applications such as conversational analytics knowledge bases workflow automation and aipowered enterprise solutions develop document and maintain scalable apis e g using fastapi and integrate ai solutions into enterprise backend systems and data pipelines ensure reliability and efficiency of deployed ai models through rigorous troubleshooting testing and optimization in production environments contribute to cloudnative development workflows using docker kubernetes and platforms like aws or gcp apply modern software engineering best practices including cicd pipelines code reviews and version control to ensure high code quality and maintainability stay current with evolving ai technologies and industry trends and proactively share insights with the team mentor and support junior engineers and actively participate in architectural design discussions to drive innovation and excellence qualifications 25 years of experience in aiml engineering or software development strong programming skills in python and experience with modern ml frameworks practical experience building apis and deploying models in production familiarity with cloud infrastructure aws gcp and container tools docker k8s understanding of microservices databases sqlnosql and version control git strong problemsolving abilities and communication skills bonus points experience with mlops reinforcement learning or computer vision contributions to opensource projects or relevant publications enthusiasm for ai innovation and mirais vision,ai engineer,ai/ml engineer
AI Adoption Lead Equity,position ai adoption lead with equity a leading tech company in riyadh is seeking an ai lead to drive ai adoption across the organization the role involves identifying opportunities building solutions and training teams on effective ai usage the ideal candidate will have over 3 years of software development experience focusing on aiml applications benefits include a competitive salary package equity participation visa and medical insurance this position offers significant autonomy and direct impact on company operations j18808ljbffr,ai adoption equity,ai/ml engineer
AI Agent Engineer,about lucidya lucidya is a fastgrowing saas company building aipowered customer experience solutions for enterprises across the mena region known for our deep expertise in arabicfirst ai we help organizations understand serve and engage their customers at scale we are now launching a new ai agents business unit focused on building intelligent enterprisegrade ai agents that automate assist and augment customerfacing and operational workflows securely responsibly and at scale role overview as an ai agent engineer you will be responsible for designing building and deploying intelligent ai agents that solve real business problems you will work at the intersection of machine learning deep learning and production ai turning advanced models into reliable scalable systems used by enterprise customers this role goes beyond experimentation you will help take ai from concept to production ensuring performance ethical compliance and realworld impact what youll do ai agent development design develop and optimize machine learning and deep learning models for ai agent use cases build intelligent systems capable of reasoning prediction automation and decision support apply nlp data analysis and agentic workflows to solve complex cx and operational challenges data model engineering manage clean and preprocess large datasets to extract meaningful features train evaluate and finetune machine learning models to meet performance and reliability standards continuously monitor and improve model accuracy robustness and efficiency production scalability deploy ai models into production environments with a focus on scalability performance and reliability collaborate on mlops practices to support continuous integration monitoring and improvement ensure ai systems integrate smoothly with existing platforms and workflows crossfunctional collaboration work closely with data scientists software engineers product managers and domain experts translate business problems into effective ai solutions with measurable outcomes contribute to solution design for enterprise pilots and longterm deployments governance quality ensure ai solutions comply with ethical standards data privacy requirements and legal regulations document models algorithms workflows and decisions clearly for internal and external stakeholders stay up to date with the latest ai research tools and best practices and apply them where valuable requirements what were looking for technical skills 2 years of handson experience building and deploying aidriven systems with a strong focus on ai agents or agentic workflows and demonstrated impact on real business outcomes eg automation efficiency gains cost reduction cx improvement strong programming skills in python java is a plus handson experience with machine learning and deep learning techniques practical experience using tensorflow pytorch or similar frameworks solid understanding of data preprocessing feature engineering model training and evaluation experience deploying ai models into production or productionlike environments problemsolving mindset ability to analyze complex problems and design innovative aidriven solutions strong systems thinking understanding how models behave in realworld environments curiosity and commitment to continuous learning in a fastevolving ai landscape collaboration communication comfortable working in crossfunctional productdriven teams able to clearly document and explain technical concepts to diverse stakeholders nice to have experience with nlp conversational ai or agentbased systems exposure to enterprise ai deployments or saas platforms familiarity with mlops monitoring and model lifecycle management experience working with multilingual or arabic language data why join lucidyas ai agents team work on real enterprisegrade ai agents not just experiments shape a new business unit from the ground up solve meaningful cx and operational challenges across the mena region collaborate with a highly skilled ai data and product team build ai that is responsible scalable and impactful,ai agent engineer,ai/ml engineer
Ai and Machine Learning Software Developer,design develop and implement ai and machine learning algorithms and models to solve complex problems and improve business processes collaborate with crossfunctional teams to gather requirements define project objectives and develop software solutions develop scalable and efficient code to preprocess data train models and evaluate performance metrics implement stateoftheart algorithms and techniques in areas such as deep learning natural language processing computer vision and reinforcement learning explore new methodologies and technologies to enhance the capabilities of ai and ml systems work closely with data engineers to ensure data quality availability and reliability for training and inference deploy machine learning models into production environments and monitor their performance over time conduct thorough testing and validation to ensure the accuracy robustness and scalability of ai and ml solutions document software designs algorithms and implementation details for future reference and knowledge sharing stay current with advancements in ai ml and related fields and contribute to the companys knowledge base through research and innovation qualifications bachelors degree in computer science electrical engineering mathematics or related field advanced degree masters or phd preferred proven experience in software development with a focus on ai and machine learning applications proficiency in programming languages such as python java or cc strong understanding of machine learning algorithms deep learning frameworks eg tensorflow pytorch and data processing techniques experience with cloud computing platforms eg aws azure google cloud and distributed computing frameworks eg apache spark is a plus familiarity with software development tools version control systems and agile methodologies excellent analytical and problemsolving skills with a keen attention to detail effective communication skills with the ability to collaborate with multidisciplinary teams and communicate technical concepts to nontechnical stakeholders ability to work independently and manage multiple projects in a fastpaced environment demonstrated passion for ai ml and emerging technologies with a commitment to continuous learning and professional development,ai and machine learning software developer,ai/ml engineer
AI Engineer: Innovate with ML & NLP Solutions,a leading it and digital transformation company in riyadh seeks a saudi national artificial intelligence engineer ideal candidates should have over 2 years of experience in ai and machine learning with strong programming skills in python r or java responsibilities include designing and deploying ai models data manipulation and collaborating with stakeholders bachelors or masters in a related field is required this position offers a unique opportunity to drive innovation and enhance decisionmaking in a dynamic environment j18808ljbffr,ai engineer innovate with ml nlp solutions,ai/ml engineer
Position: Machine Learning / AI Engineer in Riyadh,we are seeking a skilled ai machine learning engineer to design develop and deploy intelligent systems that solve realworld business problems the ideal candidate will have strong experience in machine learning algorithms data modeling and productiongrade ai systemskey responsibilities design and implement machine learning models and ai solutions build data pipelines for,position machine learning ai engineer in riyadh,ai/ml engineer
Fullstack Developer | Machine Learning Engineer,we offerspanspan p development career in a leading it consultancy in ksa p salary negociable according experiencespan div place or work jeddah ksa but after 3 months can be remote workp p p div divspan body htmlismobilefalseiframetruejobtypefull timeapplynameapply nowzsoid559867048fontfamilyverdana geneva sansserifjobotherdetailsfieldlabeldivision ghcguitype2valueitfieldlabelindustryuitype2valueservicios y tecnologas de la informacinfieldlabelwork experienceuitype2value13 yearsfieldlabelcountryuitype2valuespainfieldlabelsubtitleuitype1valueour client is a it consultancy in saudi arabia is looking for remote work a fullstack developer phyton nlp machine learningfieldlabelcityuitype1valuejeddahfieldlabelstateprovinceuitype1valuear riyadfieldlabelzippostal codeuitype1value21577headernamefullstack developer machine learning engineer nlpwidgetid353577000000072311isjobboardfalseuserid353577000000118003attacharrcustomtemplate3iscandidateloginenabledtruejobid353577000033507010fontsize12googleindexurlhttpsglobalhumancapitalgroupzohorecruitcomrecruitviewjobnadigestfvbj3gpajibwamhllzwusfgbwwsbxlmjnafewpssvgembedsourcegooglelocationjeddahembedsourcecareersiteindeedcallbackurlhttpsrecruitzohocomrecruitjbapplyauthdologoid83yij4fcc30a86ad74ab6a269d52238d36533,fullstack developer machine learning engineer,ai/ml engineer
AI Engineer & Data Engineer – Internship,we are offering an exciting internship opportunity for saudi nationals to gain handson experience in artificial intelligence and data engineering this role is ideal for candidates who are passionate about data analytics and ai technologies and are eager to build a strong foundation in realworld projects key responsibilities assist in developing and maintaining data pipelines etlelt for structured and unstructured data support data cleaning preprocessing and transformation activities work with python and sql for data analysis and automation tasks assist in building training and testing basic aiml models under guidance support data visualization and reporting for business insights collaborate with senior engineers and crossfunctional teams on ongoing projects document processes code and learnings as part of best practices required skills qualifications saudi national mandatory currently pursuing final year or recently completed a degree in computer science data science ai engineering or a related field basic knowledge of python and sql understanding of data concepts databases and data processing fundamentals introductory knowledge of machine learning or ai concepts is a plus familiarity with tools such as pandas numpy or any ml libraries is an advantage strong analytical thinking and problemsolving skills willingness to learn and adapt in a fastpaced environment preferred good to have exposure to cloud platforms aws azure or gcp basic understanding of data visualization tools power bi tableau or similar knowledge of version control tools like git what you will gain practical exposure to ai and data engineering projects mentorship from experienced professionals opportunity to build a strong technical foundation internship completion certificate and potential future opportunities based on performance internship duration 6 months work mode onsite hybrid as per project and company policy eligibility only saudi nationals are eligible to apply compensation paid internship about the company founded in 2022 the company is dedicated to democratizing worldclass datadriven transformations for organizations of all sizes we empower businesses to achieve sustainable competitive advantages by helping them become datadriven enterprises our mission focuses on simplifying complex solutions building a knowledgeable customer community and fostering strong partnerships the company aims to make bestinclass data solutions accessible beyond traditional consulting models,ai engineer data engineer ship,data engineer
"MEA Enterprise Sales Specialist, AI & ML",as an artificial intelligence ai and machine learning ml sales consultant you will be the customer engagement lead integral to our making ai work strategy you will build a vision and a journey for realising that ai vision with the customer helping them demystify the hype in the ai area and establish credibility from the first meeting through the quality of questions you ask and relevant ideascustomer outcomes you share you focus on business value and quickly build relationships with customers and prospects you are an energetic selfstarter and an exceptional communicator at all levels of the customers and your own organisation with experience of building strong business relationships you know how to allow a customer to stand in their own shoes for a time then build a vision of what better looks like with them combined with a strong business case that aligns with their priority measurements youre emotionally and socially intelligent and thrive in a competitive environment you see the value of teamwork and are quick to share new insights messaging and anecdotes with the specialist and wider sales team for mutual benefit you understand the value of storytelling that is easily understood and not overwhelming regardless of audience knowledge level what youll do at uipath own the aiml sales pipeline from a focus set of accounts in the middle east you will be working with g2k and big enterprise customers solution selling and managing complex sales cycles with multiple stakeholders involved both internally and at the customer side highly structured mindset approach and account planning skills continually update knowledge and be able to articulate our competitive differentiators from both hyperscalers and boutique aiidp competitors build relationships and joint gotomarket plans with key system integrators technology partners and delivery partners provide support to sales executives and sales leaders to prioritise focus accounts based on your experience and research and contribute to overall account plans for broader business automation platform engagement what youll bring to the team a deep understanding of ai ml and idp markets and solutions a proven ability to have a relevant point of view about ai that is valuable to customers ability to become productive quickly through a customised and practical induction process as well as operate in a dynamic environment as part of an exciting hypergrowth organization exceptional verbal and written communication skills in arabic and english maybe you dont tick all the boxes above but still think youd be great for the job go ahead apply anyway because we know that experience comes in all shapes and sizesand passion cant be learned many of our roles allow for flexibility in when and where work gets done depending on the needs of the business and the role the number of hybrid officebased and remote workers will vary from team to team applications are assessed on a rolling basis and there is no fixed deadline for this requisition the application window may change depending on the volume of applications received or may close immediately if a qualified candidate is selected,mea enterprise sales ai ml,ai/ml engineer
Senior AI Engineer — Scale Production AI & Mentorship,a leading gaming and technology company in riyadh is seeking an experienced senior ai engineer to design innovative ai solutions aimed at enhancing internal operations in this role you will collaborate with various teams to build scalable ai systems and mentor junior staff while staying updated on ai trends ideal candidates will have over 5 years of experience in aiml strong python skills and familiarity with cloud systems this position offers comprehensive medical benefits and allowances j18808ljbffr,ai engineer scale production ai mentorship,ai/ml engineer
"ML & AI Engineer — MLOps, Deep Learning Deployment",a leading technology company in saudi arabia is seeking a machine learning specialist to drive ai and machine learning initiatives this role involves developing and deploying machine learning models managing large datasets and ensuring data quality for effective decisionmaking candidates should have a bachelors degree 4 years of experience and strong skills in both ml algorithms and collaboration this position offers an opportunity to work on cuttingedge technology solutions in a supportive environment j18808ljbffr,ml ai engineer mlops deep learning deployment,ai/ml engineer
Senior Data Scientist,company description tech for people unlocks the future at devoteam we believe that technology combined with strong human values can actively drive change for the better discover how tech for people is shaping the future creating a positive impact on individuals and the world around us with over 25 years of passion for technology and a presence in 18 countries across emea and beyond we are committed to leveraging innovation expertise and humancentric values to make a difference devoteam culture values true innovation is born from a powerful culture fused with meaningful values culture fair and courageous everyone is treated fairly this fuels bravery at devoteam we always make fair decisions we listen and are willing to be challenged taking courageous decisions as a result we help our employees to progress at every step and congratulate those who deserve it ambition and results ambition is nurtured at every step this drives results we are ambitious entrepreneurs with a taste for performance growth and celebrating success commitments are always kept as we seek to achieve profitable growth to create value and employment we aim to bring as much value as possible to our clients at every touchpoint learning and innovating curiosity and learning are at our core this stimulates innovation at devoteam we are curious we learn and embrace innovation constantly to meet challenges and build partnerships of excellence caring and sharing a caring attitude is infused into our culture this encourages sharing we believe in the power of teams we promote support and collaboration at devoteam we care about our teams and want to work in a positive productive environment we support the development of talent and careers values 1 respect 2 frankness 3 passion knowing that success is the result of collaboration alone we go faster but together we go further to know more about us please visit wwwdevoteamcom job description as a senior data scientistmachine learning engineer at devoteam you will be responsible for developing implementing and optimizing advanced datadriven algorithms including classification regression recommender systems and user segmentation models you will collaborate with crossfunctional teams to identify opportunities for improvement and deliver impactful insights that drive business success key responsibilities identifying relevant data sources for business needs processing cleansing and organising data into usable formats conduct indepth research and analysis on large datasets to uncover hidden patterns correlations and trends apply data mining techniques such as association rule discovery classification and clustering conduct thorough eda to understand underlying patterns correlations and anomalies in complex datasets transform and preprocess raw data to create meaningful features that can improve model performance develop evaluate and deploy predictive machine learning models to drive actionable insights communicate complex data findings in a clear and concise manner to nontechnical stakeholders stay uptodate with the latest advancements in data science machine learning and industry best practices continuously seeking opportunities to improve methodologies and processes advanced technical skills mastery of programming languages like python or r expertise in data manipulation machine learning algorithms and statistical analysis data manipulation proficiency in working with large datasets data cleaning preprocessing and transforming data into usable formats machine learning expertise experience in selecting and implementing appropriate machine learning algorithms model evaluation hyperparameter tuning and dealing with bias and fairness issues build conversational ai applications qualifications bachelors degree in computer engineering it or equivalent 7 year experience within the data science field has a strong knowledge and proven experience in following areas sql statistics machine learning and programming strong expertise in various supervised and unsupervised machine learning algorithms such as time series forecasting regression clusteringclassification and deep learning methods experience working with agile methodologies ability to communicate with both technical and nontechnical audiences excellent english and arabic communication skills written spoken analytical mindset and problemsolving skills alteryx or dataiku experience is a must mlops experience is a plus practical knowledge of big data systems is a plus additional information bu data intelligence senio level,data scientist,data scientist
